"post","tag"
"sollte ich in hamburg einen regenschirm einpacken am nächsten montag?","RAIN"
"Es ist mit Regen zu rechnen in Sylt. Am 5. September 2020 um 19 Uhr kann mit leichtem Schauerregen gerechnet werden.","RAIN"
"Wann kann ich mit mehr als 20 Grad rechnen in Regensburg","TEMPERATURE"
"Wann liegt die Durschnittstemperatur bei über 20 grad","AVERAGE_TEMPERATURE"
"Wann kann ich mit mindestens 20 Grad rechnen in Köln","MIN_TEMPERATURE"
"Wann liegt die Temperatur unter 15 Grad in Köln","TEMPERATURE"
"ist morgen mit blauem Himmel zu rechnen in Saarbrücken","CLOUDS"
"Wann liegt die Maximaltemperatur unter 10 Grad in München","MAX_TEMPERATURE"
"sag mir bitte, ob es heute regnet in amsterdam","RAIN"
"wann liegt der luftdruck über 1010 hPa in Pentling","AIR_PRESSURE"
"wie hoch ist gerade der luftdruck","AIR_PRESSURE"
"wann brauche ich morgen eine Jacke","COLD"
"gibt es morgen blauen himmel?","CLOUDS"
"Haben wir morgen Badewetter?","WARM"
"Schneit es morgen?","SNOW"
"Kalte Temperaturen morgen?","COLD"
"Brauche ich morgen einen regenschirm in Regensburg?","RAIN"
"Wann regnet es das nächste Mal wieder?","RAIN"
"Wie wird das Wetter in Regensburg am Wochenende?","WEATHER"
"Kein Problem, Was macht das Wetter in Berlin?","WEATHER"
"Wird es heute regnen?","RAIN"
"Wird es morgen regnen?","RAIN"
"Wird es morgen Badewetter geben?","WARM"
"Wann wird es heute kalt?","COLD"
"Wird es heute Abend kalt sein?","COLD"
"Wird es morgen früh neblig sein?","FOG"
"Ab wann wird es morgen warm sein?","WARM"
"Brauche ich morgen einen Regenschirm?","RAIN"
"Wie wird das Wetter morgen in Regensburg?","WEATHER"
"Regnet es morgen in Regensburg?","RAIN"
"Wann wird es in Regensburg wieder schneien?","SNOW"
"Wie viel Grad hat es gerade in Wuppertal?","TEMPERATURE"
"wie wird das wetter morgen in ulm?","WEATHER"
"wann ist der nächste Sturm in Regensburg? ","THUNDER"
"Ist es gerade bewölkt","CLOUDS"
" wird es in den nächsten drei Tagen Regnen in Köln ","RAIN"
"Kommen in den nächsten 3 Tagen Wolken in Frankfurt","CLOUDS"
"Kommt in den nächsten drei Tagen Regen in Pentling ","RAIN"
"Kommt in den nächsten 3 Tagen Regen in Oslo ","RAIN"
"wie wird das wetter","WEATHER"
"ist es heute schön","SUN"
"Wie hoch ist die Temperatur in Wien","TEMPERATURE"
"Hallo, wie wird das Wetter in einer Stunde?","WEATHER"
"Sag mir bitte, ob morgen mittag das wetter schön wird in Pentling","WEATHER"
"Hallo, bitte sag mir wie viel Grad es gerade ist!","TEMPERATURE"
"Sag mir bitte wie der Luftdruck wird gegen sechs Uhr heute Abend!","AIR_PRESSURE"
"Wie viel Sonne scheint denn morgen in Sinzing um 18 Uhr?","SUN"
"In welche Richtung wird der wind heute Abend wehen?","WIND_DIRECTION"
"Wie wird das Wetter in 46 Stunden","WEATHER"
